province,year,month,ndvi,evi
Khost,2015,1,0.20432848425596603,0.10883089026820074
Paktika,2015,1,0.10616533304827064,0.06385822324262592
Daykundi,2015,1,0.05388542932882989,0.030100555866861497
Panjsher,2015,1,-0.00018170812503982565,-0.008719984412323304
Parwan,2015,1,0.046262075948831236,0.022860220516204583
Uruzgan,2015,1,0.11536615710074657,0.07404125924670053
Badakhshan,2015,1,-0.01012965336073954,-0.01429305739964735
Badghis,2015,1,0.1473448004003669,0.08437666533034226
Baghlan,2015,1,0.08252056304191384,0.04491764480191039
Balkh,2015,1,0.12160027010818844,0.07486094558920654
Bamyan,2015,1,0.014089579661267239,0.0059521467231498735
Farah,2015,1,0.0903842698622538,0.059742748874453286
Faryab,2015,1,0.1580664997943033,0.09298689460996028
Ghazni,2015,1,0.07820070429279391,0.054625191905691685
Ghor,2015,1,0.0309976816279662,0.01755505430496761
Hilmand,2015,1,0.09625822455266159,0.06507715400254771
Hirat,2015,1,0.09621298314168628,0.06080883324728578
Jawzjan,2015,1,0.1584796719295129,0.1019768193755203
Kabul,2015,1,0.09571248146883325,0.05649336516079018
Kandahar,2015,1,0.09821029045342539,0.06786693601718186
Kapisa,2015,1,0.12105203495213593,0.0667555793415798
Kunar,2015,1,0.3500132560963065,0.14618530657322673
Kunduz,2015,1,0.17721519996755372,0.10380345841277695
Laghman,2015,1,0.18218440458831142,0.0915013464562766
Logar,2015,1,0.08579965893543261,0.05162012384378747
Nangarhar,2015,1,0.15263774872264432,0.07904353247157823
Nimroz,2015,1,0.07421240734988242,0.05505469644412275
Nuristan,2015,1,0.08925559732476869,0.03298396173877961
Paktya,2015,1,0.1520553769373531,0.0840101118505526
Samangan,2015,1,0.09410570291441608,0.05850313287257841
Sar-e-Pul,2015,1,0.084107582567978,0.04642767748699134
Takhar,2015,1,0.07638232187805344,0.035962474252038704
Wardak,2015,1,0.03284521745545691,0.018595308388183913
Zabul,2015,1,0.09240523987720614,0.061980839470543087
Khost,2015,2,0.20097508929391952,0.1096585415365736
Paktika,2015,2,0.09929488940432983,0.061000942441641955
Daykundi,2015,2,0.04125717334378754,0.01975486369303513
Panjsher,2015,2,-0.022655594927775174,-0.025888411117735353
Parwan,2015,2,0.025112154257690776,0.006355758120544063
Uruzgan,2015,2,0.09989414705684921,0.06317932741418426
Badakhshan,2015,2,-0.01369023459179095,-0.019847912142140798
Badghis,2015,2,0.204638054089904,0.1180708360382907
Baghlan,2015,2,0.07889180180042785,0.03966001264239223
Balkh,2015,2,0.14490766519669143,0.09242996547994532
Bamyan,2015,2,-0.004405240377239835,-0.009312130638040365
Farah,2015,2,0.08781726422374614,0.058410260328634306
Faryab,2015,2,0.20836327915741112,0.12330408684991563
Ghazni,2015,2,0.03699888252848518,0.02434264723970408
