province,year,month,vci,tci,vhi
Hirat,2015,3,24.58,100.0,62.29
Jawzjan,2015,3,100.0,100.0,100.0
Kabul,2015,3,63.19,98.82,81.0
Kandahar,2015,3,9.4,91.7,50.55
Kapisa,2015,3,26.17,100.0,63.08
Kunar,2015,3,30.66,100.0,65.33
Kunduz,2015,3,64.17,76.98,70.58
Laghman,2015,3,21.59,100.0,60.8
Logar,2015,3,60.36,81.86,71.11
Nangarhar,2015,3,31.42,94.29,62.86
Nimroz,2015,3,87.05,100.0,93.53
Nuristan,2015,3,14.95,97.04,55.99
Paktya,2015,3,58.9,94.31,76.61
Samangan,2015,3,27.38,100.0,63.69
Sar-e-Pul,2015,3,43.06,100.0,71.53
Takhar,2015,3,15.45,73.96,44.71
Wardak,2015,3,53.46,72.98,63.22
Zabul,2015,3,37.52,63.62,50.57
Khost,2015,4,27.87,39.03,33.45
Paktika,2015,4,0.0,34.11,17.06
Daykundi,2015,4,50.62,54.09,52.35
Panjsher,2015,4,0.0,85.63,42.81
Parwan,2015,4,12.15,56.95,34.55
Uruzgan,2015,4,23.21,39.05,31.13
Badakhshan,2015,4,18.3,50.38,34.34
Badghis,2015,4,73.97,61.48,67.73
Baghlan,2015,4,51.9,70.67,61.29
Balkh,2015,4,84.15,62.16,73.15
Bamyan,2015,4,15.91,89.49,52.7
Farah,2015,4,55.76,46.21,50.98
Faryab,2015,4,93.65,54.19,73.92
Ghazni,2015,4,16.37,38.03,27.2
Ghor,2015,4,66.37,66.42,66.39
Hilmand,2015,4,22.97,41.74,32.36
Hirat,2015,4,61.12,48.89,55.01
Jawzjan,2015,4,100.0,74.24,87.12
Kabul,2015,4,9.39,49.45,29.42
Kandahar,2015,4,13.02,56.66,34.84
Kapisa,2015,4,0.0,57.36,28.68
Kunar,2015,4,30.48,42.14,36.31
Kunduz,2015,4,83.07,73.67,78.37
Laghman,2015,4,7.24,50.27,28.76
Logar,2015,4,16.43,46.26,31.34
Nangarhar,2015,4,25.43,53.35,39.39
Nimroz,2015,4,52.25,39.49,45.87
Nuristan,2015,4,0.52,53.96,27.24
Paktya,2015,4,0.0,33.05,16.53
Samangan,2015,4,91.77,61.43,76.6
Sar-e-Pul,2015,4,72.1,56.09,64.1
Takhar,2015,4,45.86,60.41,53.14
Wardak,2015,4,37.12,53.99,45.56
Zabul,2015,4,0.0,35.79,17.9
Khost,2015,5,63.21,24.94,44.08
Paktika,2015,5,13.68,34.45,24.07
Daykundi,2015,5,87.1,48.99,68.05
Panjsher,2015,5,2.25,100.0,51.13
Parwan,2015,5,57.76,87.01,72.38
Uruzgan,2015,5,33.87,50.52,42.19
Badakhshan,2015,5,0.0,100.0,50.0
Badghis,2015,5,47.34,44.08,45.71
Baghlan,2015,5,92.82,96.41,94.61
Balkh,2015,5,84.09,100.0,92.04
Bamyan,2015,5,57.81,65.47,61.64
Farah,2015,5,71.09,65.42,68.26
Faryab,2015,5,58.39,60.87,59.63
Ghazni,2015,5,31.31,46.71,39.01
Ghor,2015,5,100.0,59.92,79.96
Hilmand,2015,5,43.17,43.39,43.28
Hirat,2015,5,51.8,54.32,53.06
Jawzjan,2015,5,65.78,95.23,80.5
Kabul,2015,5,42.23,70.12,56.17
Kandahar,2015,5,15.65,46.63,31.14
Kapisa,2015,5,54.72,71.63,63.18
Kunar,2015,5,80.94,60.84,70.89
Kunduz,2015,5,88.05,100.0,94.02
Laghman,2015,5,46.61,62.69,54.65
Logar,2015,5,40.12,52.5,46.31
Nangarhar,2015,5,40.35,50.26,45.3
Nimroz,2015,5,46.14,41.7,43.92
Nuristan,2015,5,31.48,81.74,56.61
Paktya,2015,5,50.12,35.85,42.99
Samangan,2015,5,97.49,87.24,92.37
Sar-e-Pul,2015,5,72.91,76.05,74.48
Takhar,2015,5,92.64,100.0,96.32
Wardak,2015,5,52.01,90.67,71.34
Zabul,2015,5,0.0,41.9,20.95
Khost,2015,6,31.1,68.41,49.75
Paktika,2015,6,6.44,53.74,30.09
Daykundi,2015,6,68.93,51.99,60.46
Panjsher,2015,6,29.61,76.31,52.96
Parwan,2015,6,87.61,52.92,70.26
Uruzgan,2015,6,31.15,90.35,60.75
Badakhshan,2015,6,76.19,74.96,75.57
Badghis,2015,6,52.96,21.99,37.47
Baghlan,2015,6,100.0,54.3,77.15
Balkh,2015,6,69.13,0.0,34.56
Bamyan,2015,6,91.29,33.89,62.59
Farah,2015,6,69.63,48.52,59.07
Faryab,2015,6,56.33,16.16,36.25
Ghazni,2015,6,37.05,49.1,43.08
Ghor,2015,6,86.06,41.56,63.81
Hilmand,2015,6,40.05,61.36,50.7
Hirat,2015,6,48.37,50.44,49.41
Jawzjan,2015,6,55.78,0.0,27.89
Kabul,2015,6,39.72,63.73,51.72
Kandahar,2015,6,14.39,100.0,57.2
Kapisa,2015,6,45.96,58.22,52.09
Kunar,2015,6,51.48,74.28,62.88
Kunduz,2015,6,56.66,0.0,28.33
Laghman,2015,6,40.73,70.11,55.42
Logar,2015,6,39.28,57.4,48.34
Nangarhar,2015,6,23.92,46.43,35.18
Nimroz,2015,6,51.4,43.1,47.25
Nuristan,2015,6,51.28,63.64,57.46
Paktya,2015,6,42.11,54.23,48.17
Samangan,2015,6,86.3,31.93,59.11
Sar-e-Pul,2015,6,62.44,20.21,41.33
Takhar,2015,6,100.0,54.6,77.3
Wardak,2015,6,69.95,47.8,58.88
Zabul,2015,6,0.0,79.34,39.67
Khost,2015,7,40.59,11.08,25.84
Paktika,2015,7,0.04,40.58,20.31
Daykundi,2015,7,60.19,38.98,49.59
Panjsher,2015,7,95.63,100.0,97.81
Parwan,2015,7,72.39,34.84,53.62
Uruzgan,2015,7,33.3,40.49,36.9
Badakhshan,2015,7,100.0,100.0,100.0
Badghis,2015,7,61.54,48.78,55.16
Baghlan,2015,7,100.0,75.49,87.75
Balkh,2015,7,71.07,58.84,64.95
Bamyan,2015,7,95.43,45.65,70.54
Farah,2015,7,62.9,69.83,66.37
Faryab,2015,7,63.74,49.85,56.79
Ghazni,2015,7,17.89,36.64,27.26
Ghor,2015,7,87.07,48.86,67.96
Hilmand,2015,7,38.86,60.65,49.75
Hirat,2015,7,47.41,76.01,61.71
Jawzjan,2015,7,62.12,55.44,58.78
Kabul,2015,7,53.13,47.22,50.17
Kandahar,2015,7,15.57,52.17,33.87
Kapisa,2015,7,74.9,57.99,66.45
Kunar,2015,7,46.48,37.09,41.79
Kunduz,2015,7,64.11,59.15,61.63
Laghman,2015,7,66.7,45.81,56.25
Logar,2015,7,32.94,35.02,33.98
Nangarhar,2015,7,74.16,34.74,54.45
Nimroz,2015,7,53.25,67.21,60.23
Nuristan,2015,7,62.86,100.0,81.43
Paktya,2015,7,35.94,37.51,36.72
Samangan,2015,7,100.0,55.21,77.6
Sar-e-Pul,2015,7,74.53,43.35,58.94
Takhar,2015,7,88.4,94.44,91.42
Wardak,2015,7,57.45,39.04,48.24
Zabul,2015,7,2.4,36.83,19.62
Khost,2015,8,35.51,26.18,30.84
Paktika,2015,8,12.58,11.3,11.94
Daykundi,2015,8,44.07,49.53,46.8
Panjsher,2015,8,100.0,47.18,73.59
Parwan,2015,8,67.03,19.85,43.44
Uruzgan,2015,8,32.29,30.86,31.57
Badakhshan,2015,8,100.0,88.06,94.03
Badghis,2015,8,61.53,63.72,62.62
Baghlan,2015,8,100.0,62.39,81.19
Balkh,2015,8,77.31,44.12,60.72
Bamyan,2015,8,91.03,60.49,75.76
Farah,2015,8,59.73,45.01,52.37
Faryab,2015,8,60.13,59.62,59.88
Ghazni,2015,8,11.78,20.4,16.09
Ghor,2015,8,83.63,69.22,76.43
Hilmand,2015,8,36.34,47.39,41.86
Hirat,2015,8,46.11,50.17,48.14
Jawzjan,2015,8,61.39,38.31,49.85
Kabul,2015,8,52.35,27.47,39.91
Kandahar,2015,8,21.15,49.09,35.12
Kapisa,2015,8,67.49,24.52,46.0
Kunar,2015,8,100.0,31.8,65.9
Kunduz,2015,8,85.53,42.7,64.12
Laghman,2015,8,95.31,46.91,71.11
Logar,2015,8,30.83,13.07,21.95
Nangarhar,2015,8,80.01,61.85,70.93
Nimroz,2015,8,61.42,28.33,44.87
Nuristan,2015,8,100.0,51.85,75.92
Paktya,2015,8,52.86,21.02,36.94
Samangan,2015,8,99.31,54.31,76.81
Sar-e-Pul,2015,8,68.76,56.11,62.43
Takhar,2015,8,100.0,62.43,81.21
Wardak,2015,8,52.14,24.64,38.39
Zabul,2015,8,5.38,29.38,17.38
Khost,2015,9,30.79,42.2,36.5
Paktika,2015,9,4.7,67.7,36.2
Daykundi,2015,9,29.84,75.42,52.63
Panjsher,2015,9,100.0,96.08,98.04
Parwan,2015,9,62.08,97.65,79.87
Uruzgan,2015,9,31.7,69.92,50.81
Badakhshan,2015,9,100.0,100.0,100.0
Badghis,2015,9,54.69,49.61,52.15
Baghlan,2015,9,84.76,81.92,83.34
Balkh,2015,9,66.13,37.17,51.65
Bamyan,2015,9,77.54,93.78,85.66
Farah,2015,9,53.44,65.45,59.44
Faryab,2015,9,53.65,35.93,44.79
Ghazni,2015,9,7.61,69.91,38.76
Ghor,2015,9,83.96,84.14,84.05
Hilmand,2015,9,13.14,67.13,40.13
Hirat,2015,9,44.8,59.49,52.14
Jawzjan,2015,9,58.45,1.36,29.91
Kabul,2015,9,37.86,68.78,53.32
Kandahar,2015,9,13.92,54.11,34.01
Kapisa,2015,9,48.3,60.4,54.35
Kunar,2015,9,54.46,54.49,54.47
Kunduz,2015,9,68.27,51.21,59.74
Laghman,2015,9,63.6,51.1,57.35
Logar,2015,9,27.96,52.28,40.12
Nangarhar,2015,9,57.14,50.69,53.92
Nimroz,2015,9,49.7,54.75,52.22
Nuristan,2015,9,100.0,91.85,95.93
Paktya,2015,9,50.56,81.52,66.04
Samangan,2015,9,80.59,77.84,79.22
Sar-e-Pul,2015,9,52.18,75.36,63.77
Takhar,2015,9,79.99,74.56,77.27
Wardak,2015,9,52.29,86.75,69.52
Zabul,2015,9,3.35,73.26,38.3
Khost,2015,10,70.38,61.7,66.04
Paktika,2015,10,29.97,52.14,41.05
Daykundi,2015,10,84.78,100.0,92.39
Panjsher,2015,10,60.69,27.06,43.87
Parwan,2015,10,92.21,38.82,65.51
Uruzgan,2015,10,68.28,79.18,73.73
Badakhshan,2015,10,71.27,22.23,46.75
Badghis,2015,10,78.13,93.6,85.86
Baghlan,2015,10,100.0,23.8,61.9
Balkh,2015,10,77.45,71.85,74.65
Bamyan,2015,10,65.96,78.24,72.1
Farah,2015,10,84.39,21.01,52.7
Faryab,2015,10,61.19,79.9,70.54
Ghazni,2015,10,34.24,71.55,52.89
Ghor,2015,10,91.45,100.0,95.73
Hilmand,2015,10,39.17,13.19,26.18
Hirat,2015,10,71.09,33.64,52.36
Jawzjan,2015,10,63.42,98.55,80.99
Kabul,2015,10,80.23,69.7,74.97
Kandahar,2015,10,28.73,18.24,23.48
Kapisa,2015,10,100.0,47.63,73.82
Kunar,2015,10,100.0,51.61,75.81
Kunduz,2015,10,93.8,61.25,77.52
Laghman,2015,10,100.0,58.44,79.22
Logar,2015,10,58.65,53.68,56.17
Nangarhar,2015,10,100.0,46.91,73.46
Nimroz,2015,10,63.6,0.0,31.8
Nuristan,2015,10,72.7,39.29,56.0
Paktya,2015,10,70.76,53.06,61.91
Samangan,2015,10,64.85,33.89,49.37
Sar-e-Pul,2015,10,58.72,56.85,57.79
Takhar,2015,10,100.0,22.3,61.15
Wardak,2015,10,68.66,80.2,74.43
Zabul,2015,10,16.49,44.56,30.53
Khost,2015,11,74.68,68.89,71.78
Paktika,2015,11,21.19,93.83,57.51
Daykundi,2015,11,67.49,78.19,72.84
Panjsher,2015,11,30.63,100.0,65.31
Parwan,2015,11,49.96,99.88,74.92
Uruzgan,2015,11,54.03,71.57,62.8
Badakhshan,2015,11,28.53,85.06,56.8
Badghis,2015,11,100.0,73.42,86.71
Baghlan,2015,11,100.0,68.23,84.11
Balkh,2015,11,100.0,76.59,88.3
Bamyan,2015,11,46.18,75.92,61.05
Farah,2015,11,86.47,87.05,86.76
Faryab,2015,11,100.0,77.68,88.84
Ghazni,2015,11,41.41,72.0,56.71
Ghor,2015,11,57.45,88.27,72.86
Hilmand,2015,11,57.65,61.38,59.52
Hirat,2015,11,84.18,79.19,81.68
Jawzjan,2015,11,100.0,83.31,91.65
Kabul,2015,11,71.81,100.0,85.91
Kandahar,2015,11,34.04,72.39,53.22
Kapisa,2015,11,91.9,99.9,95.9
Kunar,2015,11,83.73,91.77,87.75
Kunduz,2015,11,100.0,80.1,90.05
Laghman,2015,11,75.96,100.0,87.98
Logar,2015,11,59.5,84.29,71.9
Nangarhar,2015,11,88.42,81.03,84.72
Nimroz,2015,11,67.4,48.51,57.95
Nuristan,2015,11,23.88,100.0,61.94
Paktya,2015,11,84.94,75.85,80.39
Samangan,2015,11,100.0,62.32,81.16
Sar-e-Pul,2015,11,86.38,69.61,78.0
Takhar,2015,11,100.0,73.58,86.79
Wardak,2015,11,51.4,93.63,72.52
Zabul,2015,11,22.56,78.72,50.64
Khost,2015,12,90.54,62.29,76.42
Paktika,2015,12,2.92,78.52,40.72
Daykundi,2015,12,57.92,55.25,56.58
Panjsher,2015,12,36.02,45.22,40.62
Parwan,2015,12,46.97,50.91,48.94
Uruzgan,2015,12,87.01,74.23,80.62
Badakhshan,2015,12,29.92,60.48,45.2
Badghis,2015,12,100.0,56.07,78.03
Baghlan,2015,12,80.78,59.97,70.37
Balkh,2015,12,100.0,55.56,77.78
Bamyan,2015,12,32.15,61.5,46.82
Farah,2015,12,100.0,85.33,92.66
Faryab,2015,12,100.0,43.06,71.53
Ghazni,2015,12,25.04,85.24,55.14
Ghor,2015,12,61.51,48.37,54.94
Hilmand,2015,12,57.9,96.93,77.41
Hirat,2015,12,100.0,59.21,79.6
Jawzjan,2015,12,100.0,33.7,66.85
Kabul,2015,12,100.0,66.19,83.09
Kandahar,2015,12,28.23,94.18,61.2
Kapisa,2015,12,99.19,50.08,74.63
Kunar,2015,12,95.92,54.5,75.21
Kunduz,2015,12,100.0,68.4,84.2
Laghman,2015,12,100.0,54.24,77.12
Logar,2015,12,53.04,67.14,60.09
Nangarhar,2015,12,90.95,55.76,73.35
Nimroz,2015,12,77.51,96.68,87.1
Nuristan,2015,12,36.5,45.9,41.2
Paktya,2015,12,89.85,45.64,67.75
Samangan,2015,12,53.7,64.77,59.24
Sar-e-Pul,2015,12,86.27,46.52,66.4
Takhar,2015,12,31.55,67.91,49.73
Wardak,2015,12,29.07,71.15,50.11
Zabul,2015,12,10.17,82.73,46.45
Khost,2016,1,99.76,22.31,61.04
Paktika,2016,1,85.03,16.16,50.6
Daykundi,2016,1,61.65,45.29,53.47
Panjsher,2016,1,50.03,19.4,34.72
Parwan,2016,1,68.55,38.73,53.64
Uruzgan,2016,1,100.0,32.56,66.28
Badakhshan,2016,1,63.76,17.81,40.78
Badghis,2016,1,100.0,40.39,70.2
Baghlan,2016,1,100.0,25.72,62.86
Balkh,2016,1,100.0,41.1,70.55
Bamyan,2016,1,10.6,56.52,33.56
Farah,2016,1,100.0,23.86,61.93
Faryab,2016,1,100.0,30.62,65.31
Ghazni,2016,1,65.71,30.35,48.03
Ghor,2016,1,26.43,59.56,42.99
Hilmand,2016,1,100.0,6.38,53.19
Hirat,2016,1,100.0,25.07,62.54
Jawzjan,2016,1,100.0,5.95,52.98
Kabul,2016,1,100.0,27.11,63.55
Kandahar,2016,1,91.94,5.5,48.72
Kapisa,2016,1,100.0,16.31,58.16
Kunar,2016,1,100.0,10.47,55.23
Kunduz,2016,1,100.0,0.0,50.0
Laghman,2016,1,100.0,12.35,56.18
Logar,2016,1,86.38,32.7,59.54
Nangarhar,2016,1,75.03,19.65,47.34
Nimroz,2016,1,57.77,8.05,32.91
Nuristan,2016,1,84.74,2.49,43.62
Paktya,2016,1,95.88,35.04,65.46
Samangan,2016,1,86.5,50.04,68.27
Sar-e-Pul,2016,1,100.0,43.7,71.85
Takhar,2016,1,65.61,22.64,44.13
Wardak,2016,1,41.78,55.32,48.55
Zabul,2016,1,96.89,17.18,57.03
Khost,2016,2,78.94,20.05,49.5
Paktika,2016,2,80.28,17.26,48.77
Daykundi,2016,2,72.32,29.1,50.71
Panjsher,2016,2,83.92,31.66,57.79
Parwan,2016,2,77.86,40.22,59.04
Uruzgan,2016,2,90.93,27.21,59.07
Badakhshan,2016,2,71.57,2.15,36.86
Badghis,2016,2,100.0,18.74,59.37
Baghlan,2016,2,89.19,41.02,65.11
Balkh,2016,2,100.0,33.01,66.5
Bamyan,2016,2,37.06,44.69,40.87
Farah,2016,2,95.96,33.54,64.75
Faryab,2016,2,100.0,31.21,65.61
Ghazni,2016,2,74.87,20.01,47.44
Ghor,2016,2,52.7,32.56,42.63
Hilmand,2016,2,71.45,36.28,53.87
Hirat,2016,2,99.17,17.86,58.52
Jawzjan,2016,2,100.0,40.69,70.35
Kabul,2016,2,95.08,24.05,59.56
Kandahar,2016,2,22.81,31.51,27.16
Kapisa,2016,2,100.0,35.17,67.58
Kunar,2016,2,86.12,38.92,62.52
Kunduz,2016,2,98.08,28.6,63.34
Laghman,2016,2,74.1,31.89,53.0
Logar,2016,2,100.0,18.28,59.14
Nangarhar,2016,2,54.72,27.64,41.18
Nimroz,2016,2,47.46,52.77,50.12
Nuristan,2016,2,72.68,42.76,57.72
Paktya,2016,2,90.0,7.48,48.74
Samangan,2016,2,79.91,28.79,54.35
Sar-e-Pul,2016,2,100.0,31.58,65.79
Takhar,2016,2,57.08,25.43,41.26
Wardak,2016,2,72.81,30.38,51.59
Zabul,2016,2,91.46,20.65,56.06
Khost,2016,3,70.23,90.82,80.52
Paktika,2016,3,65.41,81.2,73.3
Daykundi,2016,3,84.17,77.01,80.59
Panjsher,2016,3,81.29,65.91,73.6
Parwan,2016,3,79.3,74.18,76.74
Uruzgan,2016,3,100.0,84.36,92.18
Badakhshan,2016,3,86.23,44.24,65.23
Badghis,2016,3,100.0,60.53,80.27
Baghlan,2016,3,92.24,52.61,72.42
Balkh,2016,3,100.0,56.74,78.37
Bamyan,2016,3,44.74,74.5,59.62
Farah,2016,3,78.89,73.23,76.06
Faryab,2016,3,100.0,61.24,80.62
Ghazni,2016,3,69.89,63.9,66.9
Ghor,2016,3,94.87,66.84,80.85
Hilmand,2016,3,44.35,73.27,58.81
Hirat,2016,3,100.0,79.33,89.67
Jawzjan,2016,3,90.76,61.63,76.2
Kabul,2016,3,99.89,94.2,97.04
Kandahar,2016,3,29.69,98.66,64.18
Kapisa,2016,3,92.54,82.4,87.47
Kunar,2016,3,95.47,79.7,87.59
Kunduz,2016,3,100.0,52.01,76.0
Laghman,2016,3,66.51,84.21,75.36
Logar,2016,3,87.69,74.93,81.31
Nangarhar,2016,3,40.68,80.2,60.44
Nimroz,2016,3,61.65,54.59,58.12
Nuristan,2016,3,70.84,78.32,74.58
Paktya,2016,3,81.36,84.25,82.81
Samangan,2016,3,93.85,44.18,69.01
Sar-e-Pul,2016,3,92.24,62.22,77.23
Takhar,2016,3,64.43,45.26,54.84
Wardak,2016,3,73.25,61.61,67.43
Zabul,2016,3,100.0,88.26,94.13
Khost,2016,4,37.55,61.91,49.73
Paktika,2016,4,59.1,76.07,67.58
Daykundi,2016,4,59.62,64.25,61.94
Panjsher,2016,4,25.9,75.29,50.59
Parwan,2016,4,21.81,80.53,51.17
Uruzgan,2016,4,81.6,57.56,69.58
Badakhshan,2016,4,50.35,50.32,50.34
Badghis,2016,4,72.31,61.21,66.76
Baghlan,2016,4,60.74,73.87,67.3
Balkh,2016,4,66.75,37.14,51.95
Bamyan,2016,4,21.23,83.23,52.23
Farah,2016,4,57.38,24.28,40.83
Faryab,2016,4,94.19,60.94,77.56
Ghazni,2016,4,44.05,74.69,59.37
Ghor,2016,4,94.38,62.4,78.39
Hilmand,2016,4,38.93,23.19,31.06
Hirat,2016,4,62.1,48.25,55.18
Jawzjan,2016,4,70.09,48.42,59.26
Kabul,2016,4,83.35,79.76,81.56
Kandahar,2016,4,43.67,56.74,50.21
Kapisa,2016,4,74.96,76.74,75.85
Kunar,2016,4,45.71,53.3,49.51
Kunduz,2016,4,57.46,38.42,47.94
Laghman,2016,4,48.47,53.59,51.03
Logar,2016,4,63.13,86.39,74.76
Nangarhar,2016,4,36.31,53.47,44.89
Nimroz,2016,4,33.39,6.87,20.13
Nuristan,2016,4,13.58,60.41,37.0
Paktya,2016,4,57.07,75.35,66.21
Samangan,2016,4,70.24,59.63,64.93
Sar-e-Pul,2016,4,70.88,57.61,64.24
Takhar,2016,4,49.99,60.32,55.15
Wardak,2016,4,14.7,85.8,50.25
Zabul,2016,4,100.0,67.5,83.75
Khost,2016,5,65.11,0.0,32.55
Paktika,2016,5,56.19,0.0,28.09
Daykundi,2016,5,75.06,6.94,41.0
Panjsher,2016,5,42.79,36.39,39.59
Parwan,2016,5,100.0,25.05,62.52
Uruzgan,2016,5,58.73,0.0,29.37
Badakhshan,2016,5,59.18,61.09,60.13
Badghis,2016,5,37.5,0.0,18.75
Baghlan,2016,5,74.75,22.84,48.8
Balkh,2016,5,38.26,0.0,19.13
Bamyan,2016,5,100.0,26.3,63.15
Farah,2016,5,30.9,0.0,15.45
Faryab,2016,5,54.36,9.96,32.16
Ghazni,2016,5,69.57,0.0,34.79
Ghor,2016,5,89.69,13.82,51.75
Hilmand,2016,5,24.35,0.0,12.17
Hirat,2016,5,41.71,0.0,20.85
Jawzjan,2016,5,44.75,0.0,22.38
Kabul,2016,5,75.54,8.95,42.25
Kandahar,2016,5,32.45,0.0,16.22
Kapisa,2016,5,71.37,12.44,41.9
Kunar,2016,5,100.0,7.81,53.91
Kunduz,2016,5,48.97,9.59,29.28
Laghman,2016,5,62.37,0.0,31.19
Logar,2016,5,75.12,0.0,37.56
Nangarhar,2016,5,49.76,0.0,24.88
Nimroz,2016,5,25.52,3.8,14.66
Nuristan,2016,5,45.31,21.95,33.63
Paktya,2016,5,76.12,0.0,38.06
Samangan,2016,5,76.2,35.45,55.83
Sar-e-Pul,2016,5,59.42,16.82,38.12
Takhar,2016,5,44.51,1.92,23.21
Wardak,2016,5,100.0,14.56,57.28
Zabul,2016,5,58.84,0.0,29.42
Khost,2016,6,32.75,30.19,31.47
Paktika,2016,6,37.89,29.22,33.56
Daykundi,2016,6,61.46,31.56,46.51
Panjsher,2016,6,100.0,45.07,72.54
Parwan,2016,6,87.26,59.52,73.39
Uruzgan,2016,6,53.39,69.57,61.48
Badakhshan,2016,6,100.0,9.6,54.8
Badghis,2016,6,37.05,38.84,37.94
Baghlan,2016,6,77.16,40.34,58.75
Balkh,2016,6,37.13,39.74,38.43
Bamyan,2016,6,88.42,53.02,70.72
Farah,2016,6,36.75,62.74,49.75
Faryab,2016,6,48.33,43.97,46.15
Ghazni,2016,6,59.1,41.55,50.33
Ghor,2016,6,68.4,18.57,43.49
Hilmand,2016,6,32.1,78.58,55.34
Hirat,2016,6,28.25,59.73,43.99
Jawzjan,2016,6,42.91,46.13,44.52
Kabul,2016,6,42.26,56.71,49.48
Kandahar,2016,6,32.19,77.19,54.69
Kapisa,2016,6,38.09,48.19,43.14
Kunar,2016,6,56.07,59.68,57.88
Kunduz,2016,6,77.37,22.13,49.75
Laghman,2016,6,45.9,25.36,35.63
Logar,2016,6,50.52,61.01,55.77
Nangarhar,2016,6,41.87,30.29,36.08
Nimroz,2016,6,44.14,58.95,51.55
Nuristan,2016,6,100.0,38.42,69.21
Paktya,2016,6,53.11,46.72,49.92
Samangan,2016,6,58.8,43.88,51.34
Sar-e-Pul,2016,6,54.92,37.91,46.41
Takhar,2016,6,58.41,3.97,31.19
Wardak,2016,6,81.03,67.41,74.22
Zabul,2016,6,42.94,49.72,46.33
Khost,2016,7,19.59,40.2,29.9
Paktika,2016,7,24.37,4.01,14.19
Daykundi,2016,7,55.11,15.15,35.13
Panjsher,2016,7,58.55,24.8,41.67
Parwan,2016,7,53.48,27.83,40.66
Uruzgan,2016,7,56.16,6.77,31.46
Badakhshan,2016,7,43.38,56.26,49.82
Badghis,2016,7,38.09,19.44,28.76
Baghlan,2016,7,51.86,54.16,53.01
Balkh,2016,7,26.35,36.51,31.43
Bamyan,2016,7,77.07,36.1,56.59
Farah,2016,7,34.41,36.14,35.27
Faryab,2016,7,51.6,40.33,45.96
Ghazni,2016,7,43.2,3.91,23.55
Ghor,2016,7,61.65,14.18,37.92
Hilmand,2016,7,18.18,22.85,20.51
Hirat,2016,7,29.15,40.6,34.88
Jawzjan,2016,7,46.46,1.97,24.21
Kabul,2016,7,46.88,23.17,35.03
Kandahar,2016,7,26.4,26.48,26.44
Kapisa,2016,7,58.97,9.32,34.14
Kunar,2016,7,41.89,48.66,45.28
Kunduz,2016,7,55.48,32.09,43.78
Laghman,2016,7,46.63,6.99,26.81
Logar,2016,7,43.83,19.53,31.68
Nangarhar,2016,7,35.49,10.45,22.97
Nimroz,2016,7,30.07,39.05,34.56
Nuristan,2016,7,50.23,8.36,29.29
Paktya,2016,7,41.9,19.85,30.87
Samangan,2016,7,59.51,57.53,58.52
Sar-e-Pul,2016,7,47.33,42.54,44.94
Takhar,2016,7,33.21,37.51,35.36
Wardak,2016,7,64.89,25.08,44.99
Zabul,2016,7,38.21,6.59,22.4
Khost,2016,8,36.08,3.68,19.88
Paktika,2016,8,39.01,20.91,29.96
Daykundi,2016,8,50.06,73.15,61.61
Panjsher,2016,8,37.0,50.66,43.83
Parwan,2016,8,47.33,36.2,41.76
Uruzgan,2016,8,52.37,49.93,51.15
Badakhshan,2016,8,26.15,100.0,63.07
Badghis,2016,8,39.17,33.48,36.32
Baghlan,2016,8,39.87,38.26,39.07
Balkh,2016,8,25.88,3.65,14.76
Bamyan,2016,8,69.56,69.07,69.32
Farah,2016,8,45.02,44.32,44.67
Faryab,2016,8,51.35,29.04,40.19
Ghazni,2016,8,33.92,24.15,29.03
Ghor,2016,8,67.59,81.48,74.53
Hilmand,2016,8,34.55,57.57,46.06
Hirat,2016,8,30.92,48.31,39.62
Jawzjan,2016,8,45.88,5.42,25.65
Kabul,2016,8,44.76,38.59,41.68
Kandahar,2016,8,38.36,39.16,38.76
Kapisa,2016,8,37.31,22.0,29.66
Kunar,2016,8,64.25,1.52,32.88
Kunduz,2016,8,44.14,6.42,25.28
Laghman,2016,8,55.11,15.16,35.13
Logar,2016,8,40.93,37.04,38.99
Nangarhar,2016,8,34.91,17.55,26.23
Nimroz,2016,8,70.98,18.95,44.96
Nuristan,2016,8,45.3,60.78,53.04
Paktya,2016,8,57.48,35.27,46.37
Samangan,2016,8,56.0,17.33,36.67
Sar-e-Pul,2016,8,41.79,43.24,42.52
Takhar,2016,8,17.78,24.44,21.11
Wardak,2016,8,56.01,42.93,49.47
Zabul,2016,8,43.32,23.25,33.28
Khost,2016,9,14.66,0.0,7.33
Paktika,2016,9,29.05,0.0,14.53
Daykundi,2016,9,43.5,13.08,28.29
Panjsher,2016,9,74.08,15.04,44.56
Parwan,2016,9,46.11,0.0,23.05
Uruzgan,2016,9,55.5,0.0,27.75
Badakhshan,2016,9,64.03,18.46,41.25
Badghis,2016,9,35.37,0.0,17.68
Baghlan,2016,9,42.36,0.0,21.18
Balkh,2016,9,20.47,0.0,10.24
Bamyan,2016,9,70.61,12.74,41.68
Farah,2016,9,47.36,0.0,23.68
Faryab,2016,9,49.15,0.0,24.57
Ghazni,2016,9,36.15,0.0,18.07
Ghor,2016,9,72.04,19.56,45.8
Hilmand,2016,9,23.48,0.0,11.74
Hirat,2016,9,31.7,0.0,15.85
Jawzjan,2016,9,44.6,0.83,22.71
Kabul,2016,9,37.24,0.0,18.62
Kandahar,2016,9,39.94,0.0,19.97
Kapisa,2016,9,19.95,0.0,9.97
Kunar,2016,9,27.25,0.0,13.62
