province,year,month,precip_total_mm,precip_3mo_mm,spi3,spi3_category,is_drought,vv_db,vh_db,ndvi,evi,lst_day_c,date,ndvi_lag1,evi_lag1,vv_db_lag1,vh_db_lag1,lst_day_c_lag1,precip_total_mm_lag1,spi3_lag1,target_spi3_next,target_drought_next,target_category_next
Badakhshan,2015,2,86.75191307060933,134.54767792591247,0.6152266730775483,near_normal,False,-8.93271106517921,-16.014010965509787,-0.0136902345917909,-0.0198479121421407,-8.127134677938686,2015-02-01,-0.0101296533607395,-0.0142930573996473,,,-11.651921909897034,33.26426380508457,-0.7062801779153579,0.8668864208871123,False,near_normal
Badakhshan,2015,3,69.26806807485694,189.2842449505508,0.8668864208871123,near_normal,False,-7.888042671265075,-15.672582106869111,0.0019081074205386,-0.0135710983168678,0.1191386503085914,2015-03-01,-0.0136902345917909,-0.0198479121421407,-8.93271106517921,-16.014010965509787,-8.127134677938686,86.75191307060933,0.6152266730775483,0.5705500521573342,False,near_normal
Badakhshan,2015,4,51.88636267002654,207.90634381549276,0.5705500521573342,near_normal,False,-7.872786927009453,-15.937563584228366,0.0434174467361079,0.0105420993780974,8.602700853814016,2015-04-01,0.0019081074205386,-0.0135710983168678,-7.888042671265075,-15.672582106869111,0.1191386503085914,69.26806807485694,0.8668864208871123,-0.1564828023114402,False,near_normal
Badakhshan,2015,5,45.71561450409774,166.87004524898117,-0.1564828023114402,near_normal,False,,,0.1202663928877756,0.0634588636323859,13.157271331656156,2015-05-01,0.0434174467361079,0.0105420993780974,-7.872786927009453,-15.937563584228366,8.602700853814016,51.88636267002654,0.5705500521573342,-0.3338204031228962,False,near_normal
Badakhshan,2015,6,24.978391792778,122.5803689669022,-0.3338204031228962,near_normal,False,,,0.1836083849845318,0.1109571465161643,18.89140326718628,2015-06-01,0.1202663928877756,0.0634588636323859,,,13.157271331656156,45.71561450409774,-0.1564828023114402,-0.0281727131182725,False,near_normal
Badakhshan,2015,7,34.25709402136947,104.95110031824514,-0.0281727131182725,near_normal,False,,,0.19177355570539,0.1160486946309131,24.30319319278108,2015-07-01,0.1836083849845318,0.1109571465161643,,,18.89140326718628,24.978391792778,-0.3338204031228962,0.2904299852855905,False,near_normal
Badakhshan,2015,8,15.55702613619499,74.79251195034239,0.2904299852855905,near_normal,False,,,0.1728268634010364,0.1001915438851895,24.984674203796352,2015-08-01,0.19177355570539,0.1160486946309131,,,24.30319319278108,34.25709402136947,-0.0281727131182725,1.364775068491591,False,moderately_wet
Badakhshan,2015,9,3.6748637554882,53.488983913052586,1.364775068491591,moderately_wet,False,,,0.1384635490400073,0.0754425364225037,19.785776548467894,2015-09-01,0.1728268634010364,0.1001915438851895,,,24.984674203796352,15.55702613619499,0.2904299852855905,0.1748080183489695,False,near_normal
Badakhshan,2015,10,18.26566574343921,37.49755563512233,0.1748080183489695,near_normal,False,-7.184301311150656,-15.670283244082295,0.0902528559866469,0.045372991487186,11.28435920318822,2015-10-01,0.1384635490400073,0.0754425364225037,,,19.785776548467894,3.6748637554882,1.364775068491591,0.4083049661259771,False,near_normal
Badakhshan,2015,11,38.015694708159046,59.95622420708639,0.4083049661259771,near_normal,False,-7.825275599826779,-16.27340663394951,0.0191214339840023,-0.000434556544398,-3.851202328467776,2015-11-01,0.0902528559866469,0.045372991487186,-7.184301311150656,-15.670283244082295,11.28435920318822,18.26566574343921,0.1748080183489695,0.2145688464402393,False,near_normal
Badakhshan,2015,12,22.12712633935399,78.40848679095218,0.2145688464402393,near_normal,False,,,-0.0007085655515405,-0.0073597551987043,-10.08229170263035,2015-12-01,0.0191214339840023,-0.000434556544398,-7.825275599826779,-16.27340663394951,-3.851202328467776,38.015694708159046,0.4083049661259771,0.0295393744894586,False,near_normal
Badakhshan,2016,1,27.74797466795733,87.89079571547029,0.0295393744894586,near_normal,False,,,-0.0095670413111972,-0.0159007673737327,-10.49115028626543,2016-01-01,-0.0007085655515405,-0.0073597551987043,,,-10.08229170263035,22.12712633935399,0.2145688464402393,-1.5699059565943645,True,severe_drought
Badakhshan,2016,2,11.161894456563038,61.03699546387429,-1.5699059565943645,severe_drought,True,-7.6088089602296,-15.80239225771577,-0.0045139878486524,-0.0137986323462324,-5.219455147760763,2016-02-01,-0.0095670413111972,-0.0159007673737327,,,-10.49115028626543,27.74797466795733,0.0295393744894586,-0.3836274592691053,False,near_normal
Badakhshan,2016,3,97.64903898078494,136.55890810530525,-0.3836274592691053,near_normal,False,,,0.022847273734481,0.0010278283017917,1.6026656800283936,2016-03-01,-0.0045139878486524,-0.0137986323462324,-7.6088089602296,-15.80239225771577,-5.219455147760763,11.161894456563038,-1.5699059565943645,0.0148011916237888,False,near_normal
Badakhshan,2016,4,72.55747480808124,181.36840824542912,0.0148011916237888,near_normal,False,,,0.0648504234328247,0.0219454691982963,8.606769993401407,2016-04-01,0.022847273734481,0.0010278283017917,,,1.6026656800283936,97.64903898078494,-0.3836274592691053,0.934872395851612,False,near_normal
Badakhshan,2016,5,58.63190345608477,228.83841724495088,0.934872395851612,near_normal,False,-9.998745633794137,-17.809986582653842,0.1483543499461879,0.0792494822442843,14.919695759250317,2016-05-01,0.0648504234328247,0.0219454691982963,,,8.606769993401407,72.55747480808124,0.0148011916237888,0.5173848024734803,False,near_normal
Badakhshan,2016,6,30.008495322396087,161.19787358656205,0.5173848024734803,near_normal,False,,,0.188287174151851,0.1158450626854652,22.861837499870614,2016-06-01,0.1483543499461879,0.0792494822442843,-9.998745633794137,-17.809986582653842,14.919695759250317,58.63190345608477,0.934872395851612,0.4334159800786709,False,near_normal
